YoutubeID,Start_timestamp,End_timestamp,Caption,Aesthetic_Score
jhvIXAMQcn0,00:01:55.080,00:01:57.240,The video clip shows a group of children playing with hula hoops in a room. The children seem to be having a lot of fun as they jump and spin around with the hula hoops. It appears to be a fun and energetic activity for the kids.,8.953125
QK8mJJJvaes,00:03:32.170,00:03:33.463,The video clip shows a group of people dancing in a nightclub. They are having a good time and seem to be enjoying themselves. The atmosphere in the club is lively and energetic.,8.953125
ZpUYjpKg9KY,00:02:44.456,00:02:47.167,"The video clip shows a group of musicians performing on a stage. The lead singer is wearing a red cap and is singing into a microphone while the rest of the band members play their instruments. The stage is dimly lit, and the audience can be seen in the background.",8.9453125
pIvvhEV8SWs,00:01:19.840,00:01:20.480,The video clip shows a group of people dressed in pink dancing in the street. They are all wearing pink shirts and appear to be having a good time.,8.9453125
cNKOC6I1SPI,00:08:45.200,00:08:49.120,The video clip shows a man wearing a white suit and a red tie walking down the street. He is carrying a bouquet of flowers and appears to be on his way to a wedding.,8.9453125
RYnFIRc0k6E,00:02:59.888,00:03:00.514,The video clip shows a group of people dancing together in a club. They appear to be having a good time and enjoying the music.,8.9453125
MK1y2qraAuc,00:03:19.324,00:03:20.450,The video clip shows a group of people singing and dancing in a car. They appear to be having a lot of fun and enjoying themselves. It seems to be a lively and energetic performance.,8.9375
7MI3buZedOw,00:00:13.125,00:00:13.750,The video clip shows a group of musicians dressed in bunny costumes performing on stage. They are playing instruments and singing while wearing the bunny costumes. It seems like a fun and lively performance.,8.9375
aVgetIvEIAs,00:01:53.488,00:01:55.240,"The video clip shows a man wearing a suit and tie singing into a microphone. He is accompanied by a group of musicians who are playing instruments. The setting appears to be indoors, and it seems to be a performance.",8.9375
52E4JRtDPYg,00:05:07.741,00:05:08.242,The video clip shows a virtual game where the players are dressed in superhero costumes and running on a track. The game seems to be based on the Avengers universe.,8.9375
ZpUYjpKg9KY,00:02:38.033,00:02:38.658,The video clip shows a group of people dancing together in a crowd. It appears to be a lively and energetic performance.,8.9296875
WTO7-CQPjdY,00:10:00.880,00:10:04.680,The video clip shows a man wearing an orange shirt who is playing with balls in a backyard. He is standing in the middle of a playground and appears to be having fun.,8.9296875
8EJ3zbKTWQ8,00:03:06.436,00:03:07.187,The video clip shows a group of people dancing together in a room. They are dressed in colorful clothing and appear to be having a good time. It seems to be a celebration of some kind.,8.9296875
ZpUYjpKg9KY,00:02:37.407,00:02:38.033,The video clip shows a skateboarder performing a trick in front of a large crowd of people. The skateboarder is wearing a cap and appears to be enjoying the attention of the crowd.,8.921875
D8_b_2MTwXo,00:01:25.120,00:01:25.920,The video clip shows a group of people dancing and having fun at a carnival. They are wearing colorful costumes and are surrounded by balloons. One of the people in the group is wearing a pink jacket.,8.921875
xbYxR3RsNx8,00:00:00.000,00:00:22.028,"The video clip shows a close-up view of a handbag that has been embroidered with flowers. The handbag is placed on a table, and the camera zooms in to show the intricate details of the embroidery.",8.9140625
63DlY-6pjzw,00:03:48.295,00:03:50.631,The video clip shows a group of children dressed in colorful costumes and playing with balloons in a backyard. They are having a lot of fun and seem to be enjoying themselves.,8.9140625
4fndeDfaWCg,00:00:52.803,00:01:13.657,The video clip shows a group of people dressed in white uniforms performing a dance routine in an airport. They are dressed in white suits and are dancing in an airport terminal.,8.9140625
NF3vWMG6088,00:01:19.400,00:01:20.200,The video clip shows a man wearing a pink hat and a yellow jacket. He is standing in a room and making a funny face. The room appears to be colorful and cheerful.,8.9140625
s_sRkGTfWo4,00:02:53.267,00:02:53.800,The video clip shows a teddy bear wearing a red hat and jacket standing under an apple tree. The teddy bear seems to be enjoying the fruits of the tree.,8.90625
XDq8V3oW5IA,00:01:19.840,00:01:20.480,"The video clip shows a group of people dressed in pink dancing in the street. They appear to be having a good time and enjoying themselves. There is a yellow car parked in the background, but it does not seem to be related to the main focus of the video.",8.90625
aeLEXxVTIEQ,00:05:32.960,00:05:37.960,The video clip shows a man dressed in a colorful outfit dancing on a train. He appears to be having a lot of fun as he moves to the beat of the music.,8.90625
9viiqYvwvOo,00:12:01.040,00:12:20.040,The video clip shows a group of people dancing in a room. The dancers are wearing colorful outfits and seem to be having a good time. The room appears to be filled with energy and excitement.,8.8984375
HuSf1UcFRq0,00:02:09.560,00:02:10.400,The video clip shows a group of men playing a game of cricket. They are wearing cricket uniforms and appear to be enjoying themselves while playing the game.,8.8984375
NQLbCmnTe88,00:02:15.269,00:02:16.069,"The video clip shows a man dressed in a bunny costume dancing with a large stuffed bunny. The man is wearing a white shirt and black tie, and the stuffed bunny is wearing a similar outfit. It appears to be a fun and playful performance.",8.890625
ZpUYjpKg9KY,00:00:12.012,00:00:13.138,The video clip shows a man wearing a red cap and making a funny face. He seems to be having a good time and enjoying himself.,8.890625
aVgetIvEIAs,00:02:29.608,00:02:30.776,"The video clip shows a group of musicians performing on stage. They are dressed in formal attire and are playing instruments such as a guitar, drums, and a cello. The lead singer is wearing a suit and is singing into a microphone while the rest of the band members play their instruments.",8.8828125
GoIM93aVCDY,00:16:17.000,00:16:18.800,The video clip shows a young girl sitting at a table with a plate of food in front of her. She is smiling and appears to be enjoying her meal.,8.875
VEfkNHTjgs8,00:04:38.987,00:04:40.030,The video clip shows a group of people dressed in colorful costumes performing a dance routine in a flower shop. They seem to be having a lot of fun and enjoying themselves.,8.8671875
sLOUzW2LN0s,00:02:24.680,00:02:26.200,"The video clip shows a man dancing in front of a classic car. He is wearing a black shirt and black pants, and appears to be enjoying the music playing in the background.",8.8671875
hkv9fg0lvAI,00:02:55.509,00:02:57.010,"The video clip shows a group of people dancing together in a public place. They appear to be having fun and enjoying each other's company. The dancers are of different ages and backgrounds, but they all seem to be having a great time.",8.859375
s_sRkGTfWo4,00:02:52.600,00:02:53.267,The video clip shows a teddy bear wearing a red hat and jacket standing in an apple tree. The teddy bear seems to be enjoying the fruits of the tree.,8.859375
bE4cIWzIH4w,00:01:18.080,00:01:19.080,The video clip shows a man wearing sunglasses and a Hawaiian shirt sitting on a boat with a basket of fruits in front of him. He is pointing at the fruits and making a gesture with his hand.,8.8515625
VCShBC9B8MU,00:02:04.750,00:02:06.375,The video clip shows a man dressed in a red robe sitting on a throne in the clouds. He appears to be a religious figure.,8.84375
xreclu1ibdU,00:03:25.172,00:03:32.646,The video clip shows a woman standing in front of a candy store. She is wearing a white coat and smiling at the camera. The store is filled with a variety of colorful candies.,8.84375
zOhDt1kin5o,00:02:28.899,00:02:30.525,The video clip shows a man wearing sunglasses and a tank top dancing in a nightclub. He is surrounded by a crowd of people who are also dancing and having a good time.,8.84375
VEfkNHTjgs8,00:04:59.090,00:05:04.930,"The video clip shows a group of people dressed in colorful costumes dancing on a street. They are performing a synchronized dance routine and seem to be having a lot of fun. The street is lined with shops and there are people walking by, enjoying the performance.",8.84375
1t_sMynan_k,00:01:25.680,00:01:26.440,"The video clip shows two men standing on the beach, both of them wearing swimsuits. They are posing for the camera and seem to be having a good time.",8.84375
K2usmJBsDwU,00:01:57.400,00:01:58.600,The video clip shows a group of men singing and dancing in a nightclub. They are dressed in suits and are accompanied by a woman who is also singing. The atmosphere in the video is lively and energetic.,8.84375
ZpUYjpKg9KY,00:02:23.101,00:02:24.102,The video clip shows a man performing a stunt on a skateboard in front of a large crowd of people. The skateboarder is wearing a cap and appears to be enjoying the attention of the audience.,8.84375
Kq3M09qTDDM,00:02:01.488,00:02:03.223,The video clip shows a man wearing sunglasses and a hat dancing in the water. He is dressed in a red jacket and appears to be having a good time.,8.8359375
SPcBT9wkUok,00:01:41.393,00:01:42.561,The video clip shows a man playing with a frisbee in the snow. He is wearing a sweater and appears to be enjoying the winter weather.,8.8359375
RYnFIRc0k6E,00:03:10.482,00:03:11.108,The video clip shows a group of people dancing together in a room with disco balls hanging from the ceiling. They appear to be having a good time as they move their bodies to the rhythm of the music.,8.8359375
9G62MZEh_1s,00:01:09.236,00:01:11.113,The video clip shows a group of people dancing together in a room. They appear to be having a good time and enjoying each other's company. It seems to be a fun and lively atmosphere.,8.8359375
VtSqOaGqtLU,00:05:49.917,00:05:58.917,"The video clip shows a woman pouring water into a glass jar filled with sliced oranges. The sliced oranges are placed inside the jar, and the woman pours the water over them. It seems like the woman is making some kind of citrus-based drink.",8.828125
ZpUYjpKg9KY,00:01:15.742,00:01:17.619,"The video clip shows a man wearing a red cap and a t-shirt, standing in front of a truck. He appears to be a musician or a performer.",8.828125
Mx0pImLptqg,00:06:17.460,00:06:18.295,The video clip shows a group of people dressed in pajamas dancing together. They are all wearing matching pajamas and seem to be having a good time. It appears to be a fun and lively performance.,8.828125
ZpUYjpKg9KY,00:02:00.537,00:02:01.163,The video clip shows a group of people cheering and dancing in a crowd. It appears to be a lively and energetic event.,8.828125
AA_4Bt6wPzQ,00:05:10.477,00:05:11.278,The video clip shows a man dressed in a costume and holding a skull. He is wearing a hat and appears to be in a theater setting. The man seems to be making a funny face while holding the skull.,8.8203125
AA_4Bt6wPzQ,00:08:15.462,00:08:16.763,The video clip shows a man dressed in a skull costume holding a skull in his hand while standing in a theater. He appears to be performing a comedy routine.,8.8203125
JmU16BbDmNM,00:02:49.211,00:02:50.170,The video clip shows a group of people dancing in a playground. They are dressed in colorful clothes and appear to be having a lot of fun.,8.8203125
RYnFIRc0k6E,00:02:20.223,00:02:21.099,The video clip shows a group of people dancing and having fun in a club. They are all wearing hats and appear to be enjoying themselves.,8.8203125
WwTB2Y81InM,00:00:36.328,00:00:38.038,The video clip shows a man wearing sunglasses and making a gesture with his hand. He is also wearing a shirt and appears to be in a dark room.,8.8203125
5Wgci4oyorI,00:02:16.056,00:02:17.263,The video clip shows a man wearing a white hat and a striped shirt. He is also wearing a tie and appears to be dancing.,8.8203125
fXSovfzyx28,00:01:30.520,00:01:33.040,The video clip shows a group of musicians performing on a stage. They are dressed in military uniforms and are playing instruments. The stage is decorated with a red and white striped backdrop.,8.8203125
OSfPGrj8ut0,00:02:02.880,00:02:05.080,The video clip shows a man and a woman dressed in yellow shirts dancing on the beach. They seem to be having a good time and enjoying themselves.,8.8125
KlAAQ4TzqdA,00:01:53.200,00:01:56.120,The video clip shows a group of men dressed in blue jackets standing in front of a row of classic cars. They seem to be posing for a photo and appear to be having a good time.,8.8125
ADjvsjB4T54,00:00:14.214,00:00:15.582,The video clip shows a boxing match between two men. One of them is wearing a red shirt and the other is wearing a blue shirt. Both of them are boxing each other in the ring.,8.8125
QK8mJJJvaes,00:03:34.756,00:03:35.465,The video clip shows a man dressed in a pink suit dancing in a crowded room. He is wearing sunglasses and is surrounded by a group of people who are also dancing. It appears to be a lively and energetic atmosphere.,8.8046875
SCotFoF3kKE,00:00:20.587,00:00:24.057,The video clip shows a man wearing an orange jacket and holding a plate of food. He is standing next to a plant and seems to be preparing a meal.,8.8046875
1nAUB0HTIQA,00:00:48.298,00:00:48.966,The video clip shows a group of people dancing together in a lively and energetic manner. They appear to be having a good time and enjoying each other's company.,8.796875
NQLbCmnTe88,00:00:15.082,00:00:18.218,The video clip shows a man dressed as a bunny rabbit and a woman dressed as a bunny rabbit dancing together on a brick walkway. They appear to be having fun and enjoying each other's company.,8.796875
gCidxgspSro,00:03:14.694,00:03:34.548,The video clip shows a group of men dressed in suits and ties standing in front of a building. One of the men is wearing a bow tie. They appear to be posing for a photo.,8.796875
i1BO0bbKCyo,00:00:18.685,00:00:19.311,The video clip shows a group of people dancing in a room filled with balloons. They are all dressed in colorful outfits and seem to be having a good time. The atmosphere in the room is lively and energetic.,8.796875
NxBY_gfQbfc,00:13:23.760,00:13:27.160,"The video clip shows a group of children and adults participating in a dance competition. The children are dressed in colorful costumes, and the adults are wearing yellow shirts. The competition seems to be a fun and energetic event.",8.796875
g52Uh9wmqZg,00:00:31.640,00:00:32.360,The video clip shows a man lying in bed with his arms outstretched. He seems to be enjoying a peaceful sleep. It appears to be a relaxing and calming scene.,8.7890625
h8ZttbQZHHs,00:02:38.325,00:02:39.951,The video clip shows a man and a woman dressed in swimwear dancing together in a tropical setting. The man is wearing a bikini and the woman is wearing a swimsuit. They are both holding pineapples while dancing.,8.7890625
qV53OI4LcsY,00:04:10.920,00:04:13.840,"The video clip shows a table set up with a breakfast meal consisting of eggs, toast, and a cup of coffee. The table is decorated with colorful Easter eggs and a pineapple.",8.7890625
8NyParAaNos,00:03:58.320,00:04:00.160,The video clip shows a group of people dancing together in a gym. They are dressed in colorful costumes and appear to be having a lot of fun. It seems to be a lively and energetic performance.,8.7890625
NQLbCmnTe88,00:01:20.647,00:01:21.148,"The video clip shows a man dressed in a bunny costume walking down a street. The man is wearing a black and white bunny suit, and he is accompanied by a woman who is also dressed in a bunny costume. The two of them are dancing and having fun in the street.",8.7890625
ibwixyj1Klc,00:01:26.320,00:01:28.280,The video clip shows a man wearing a coat and sunglasses walking down a street. He appears to be dancing as he walks.,8.78125
st8xWyMZXOU,00:00:45.480,00:00:46.560,The video clip shows a group of people wearing masks and dancing together. They appear to be having a good time and enjoying each other's company.,8.78125
L2vDHTygLlM,00:00:51.018,00:00:58.659,"The video clip shows a group of children playing in a store. The store appears to be a toy store, and the children seem to be having a lot of fun exploring the various toys and games available. There is a checkered floor in the store, and the children can be seen running around and interacting with each other.",8.78125
SXvxJELpD4w,00:00:32.320,00:00:33.760,The video clip shows a group of musicians performing on a cruise ship. They are playing instruments and singing while standing on the deck of the ship. It appears to be a lively and enjoyable performance.,8.78125
mesIbctOueQ,00:02:11.760,00:02:12.640,The video clip shows two men dressed in pink jackets singing into a microphone while wearing sunglasses. They appear to be having a good time and enjoying themselves.,8.7734375
SttN9OpuulY,00:00:39.339,00:00:40.407,The video clip shows a group of people dancing together in a room. They are all having a good time and appear to be enjoying themselves. It seems like a fun and lively atmosphere.,8.7734375
1x5tIv6GC1o,00:02:14.120,00:02:15.160,The video clip shows a man standing next to a car that is covered in flowers. He is wearing a leather jacket and appears to be posing for a photo.,8.7734375
pvUAvGD4nXQ,00:02:09.755,00:02:10.380,The video clip shows a group of men dressed in casual clothing and dancing in a field. They appear to be having a good time and enjoying each other's company.,8.7734375
ZpUYjpKg9KY,00:00:00.000,00:00:07.090,The video clip shows a group of musicians performing on a stage. They are playing instruments and singing. It appears to be a musical performance.,8.7734375
ccNForBc18o,00:06:43.000,00:06:45.400,The video clip shows a man wearing a colorful outfit and dancing in front of a white background. He is wearing sunglasses and appears to be having a good time.,8.765625
Q3Wrbp2Huk4,00:05:13.480,00:05:23.990,The video clip shows a man making a smoothie in a kitchen. He is using a blender to blend the ingredients together and then pouring the smoothie into a glass. The man seems to be enjoying the process of making the smoothie.,8.765625
MjVPWjeIcqk,00:00:00.000,00:09:56.600,The video clip shows a man wearing a red hat and a plaid shirt standing in the snow. He is also wearing a jacket and appears to be dancing.,8.7578125
AA_4Bt6wPzQ,00:08:21.435,00:08:30.477,The video clip shows a man dressed in a costume and holding a skull. He is wearing a hat and appears to be in a theater setting.,8.7578125
KlAAQ4TzqdA,00:02:46.240,00:02:48.360,The video clip shows a group of men standing in front of a classic car. They appear to be posing for a photo and seem to be enjoying each other's company.,8.7578125
ZpUYjpKg9KY,00:02:19.264,00:02:20.766,The video clip shows a group of people dancing together in a room. They appear to be having a good time and enjoying each other's company.,8.7578125
qhNvxhHeGWQ,00:12:39.993,00:12:43.564,The video clip shows a man in an orange shirt standing in front of a table with several glasses of juice on it. He is wearing a hat and appears to be in charge of the juice making process.,8.7578125
9hrXZQ2CCPc,00:00:00.000,00:10:54.000,The video clip shows a man wearing a red hat and standing in the snow. He seems to be enjoying the winter weather.,8.75
7TVTgsV5_Ko,00:01:09.960,00:01:15.160,The video clip shows a woman standing in front of a fruit market. She is wearing a red shirt and is making a gesture with her hand. The market is filled with various types of fruits and vegetables.,8.75
xbYxR3RsNx8,00:19:00.587,00:19:02.565,The video clip shows a small pink purse that has been embroidered with a floral design. The purse is placed on a table and appears to be handmade.,8.75
aVgetIvEIAs,00:02:06.251,00:02:07.294,The video clip shows a man wearing a suit and tie singing into a microphone while holding a glass of wine. He is accompanied by a band playing music in the background.,8.75
44YavXS3NEY,00:01:40.733,00:01:45.667,The video clip shows a man in a kitchen who is making a salad. He is wearing a black shirt and is standing in front of a table with a bowl of salad ingredients.,8.75
Kq3M09qTDDM,00:01:09.870,00:01:11.638,The video clip shows a group of people dressed in colorful costumes and dancing together. They appear to be having a good time and enjoying each other's company.,8.75
YupfFYtnn6k,00:00:23.232,00:00:25.317,The video clip shows a group of people dancing in a room. The dancers are wearing black clothing and appear to be having a good time. It seems to be a fun and energetic performance.,8.75
qex0OjXolzc,00:01:29.548,00:01:30.632,The video clip shows a man sitting at a table and eating a sandwich. He is wearing a cap and has a tattoo on his arm. The man seems to be enjoying his meal.,8.7421875
a2XdPLupE90,00:08:07.200,00:08:16.400,The video clip shows a woman preparing and serving some delicious cupcakes. The cupcakes are decorated with fresh flowers and topped with jam. The woman is also seen pouring some jam into a jar.,8.7421875
gkhKxX-PpPc,00:04:56.863,00:05:05.438,The video clip shows a man dressed in a beard and wearing a straw hat sitting in the woods and eating a sandwich. He is surrounded by a variety of fruits and vegetables on a table.,8.7421875
bLF90M96m2Q,00:03:00.520,00:03:03.560,"The video clip shows a group of people dressed in colorful costumes and dancing in a parade. They are accompanied by confetti and balloons, creating a festive and lively atmosphere. The people in the parade seem to be having a great time and enjoying themselves.",8.734375
HuSf1UcFRq0,00:02:11.000,00:02:11.720,The video clip shows a group of people performing a dance routine in a field. It appears to be a fun and energetic performance.,8.734375
1nrcZQliOGI,00:01:33.375,00:01:34.708,The video clip shows a group of people dressed in white clothing singing and dancing on a street. They appear to be having a good time and enjoying each other's company.,8.734375
qrOeGCJdZe4,00:01:52.612,00:01:54.281,The video clip shows a man singing into a vintage microphone while wearing a leather jacket. He appears to be passionate about his performance.,8.734375
fXSovfzyx28,00:02:42.000,00:02:46.120,The video clip shows a man dressed in a military uniform singing and dancing on a stage. It appears to be a musical performance.,8.734375
jIZ-ye63Mpc,00:02:01.688,00:02:07.794,"The video clip shows a group of men dressed in suits and ties posing for a photo. They are all wearing hats and appear to be having a good time. The setting seems to be outdoors, possibly in a garden or park. It appears to be a group of friends or colleagues enjoying each other's company.",8.734375
XuswP_C1ehE,00:02:38.617,00:02:39.993,The video clip shows a group of people gathered around a motorcycle. The motorcycle is parked in the middle of the group. The people seem to be having a good time and enjoying each other's company. It appears to be a social gathering or a party.,8.734375
r-wDKEHc-Cw,00:01:46.873,00:01:57.918,"The video clip shows a group of people shopping for fruits and vegetables at a farmer's market. They are browsing through a variety of fresh produce, including apples, bananas, and grapes. The people seem to be enjoying their time at the market, picking out their favorite items to take home.",8.734375
aVgetIvEIAs,00:01:45.856,00:01:46.857,"The video clip shows a group of musicians performing on a stage. They are dressed in formal attire and are playing instruments such as guitars, drums, and cymbals. The lead singer is wearing a suit and is singing into a microphone while the rest of the musicians play their instruments.",8.734375
Aj4ehEk5Kk8,00:08:19.100,00:08:54.233,The video clip shows a woman making a cocktail behind a bar. She is wearing an apron and appears to be expertly mixing the ingredients together.,8.734375
D8_b_2MTwXo,00:02:29.240,00:02:30.200,The video clip shows a group of people dressed in pink and wearing sunglasses. They are dancing together and having a good time. It appears to be a fun and lively event.,8.734375
LH-i8IvYIcg,00:02:18.347,00:02:19.222,The video clip shows a man wearing a hat and walking in a crowd of people. He is smiling and seems to be enjoying the company of the people around him. It appears to be a lively and cheerful atmosphere.,8.7265625
RYnFIRc0k6E,00:03:21.535,00:03:22.452,The video clip shows a group of people dancing together in a room. They appear to be having fun and enjoying each other's company. It seems to be a lively and energetic atmosphere.,8.7265625
_HeKOFkUG1M,00:01:06.267,00:01:10.200,The video clip shows a plate of toast with jam and a cup of tea. It appears to be a simple breakfast setup.,8.7265625
K0HOW_pL7kY,00:00:57.160,00:00:58.360,The video clip shows a group of people dancing together in a room. They are dressed in yellow and white clothes and appear to be having fun while dancing.,8.7265625
07r_B9zFYQo,00:00:37.333,00:00:41.500,"The video clip shows a group of people, including a man, a woman, and two kids, standing in front of a table filled with fruits and vegetables. They seem to be preparing a healthy meal together.",8.7265625
d1F8B1R-9Zc,00:08:31.000,00:08:34.000,The video clip shows a group of children dressed up as zebras sitting at a table and having a meal together. They seem to be enjoying their food and having a good time.,8.7265625
M22vfePD3f4,00:00:49.016,00:00:52.185,The video clip shows a collection of vintage dolls dressed in various outfits. The dolls are arranged in different poses and appear to be of different ages.,8.71875
g52Uh9wmqZg,00:00:05.160,00:00:06.400,The video clip shows a man wearing a robe and sleeping on a bed. He is lying on his back and appears to be resting comfortably.,8.71875
bMyrBds_9Zc,00:00:46.520,00:00:47.600,The video clip shows a man wearing a yellow suit and dancing in the middle of the street. He is accompanied by a group of people who are also dancing around him. It appears to be a lively and energetic performance.,8.71875
i1BO0bbKCyo,00:00:16.683,00:00:17.309,The video clip shows a group of people dancing together in a room filled with balloons. They are all wearing colorful costumes and seem to be having a great time. The atmosphere in the room is lively and energetic.,8.71875
5Wgci4oyorI,00:00:29.712,00:00:31.280,The video clip shows a man wearing a white hat and tie singing into a microphone. He is dressed in a suit and appears to be performing on stage.,8.71875
PEH8iLjlodM,00:01:24.480,00:01:27.240,The video clip shows a man wearing a helmet and standing in a room. The man is wearing a helmet and appears to be preparing for something. It seems like he is getting ready for an adventure.,8.7109375
oCdlZ_1aMMg,00:01:21.560,00:01:23.360,The video clip shows a group of people dressed in blue costumes riding bicycles in a line. They seem to be part of a parade or a group of cyclists. It appears to be a fun and lively event.,8.7109375
1nrcZQliOGI,00:01:34.708,00:01:35.500,The video clip shows a group of people dressed in white clothing walking down a street. They appear to be part of a parade or a group of performers. There is also a man wearing a hat and glasses who seems to be the leader of the group.,8.7109375
5hJbouQgjjo,00:04:13.600,00:04:15.400,The video clip shows a young girl sitting at a table with a plate of food in front of her. She is smiling and seems to be enjoying her meal.,8.7109375
Kq3M09qTDDM,00:00:52.319,00:00:53.987,The video clip shows a group of people dressed in colorful costumes and dancing in a festive atmosphere. They are all having a great time and seem to be enjoying themselves. It appears to be a lively and joyful celebration.,8.7109375
siObhGeluDQ,00:14:16.720,00:14:17.480,The video clip shows a group of young people standing in a room and dancing together. They appear to be having a good time and enjoying each other's company.,8.7109375
btzc3EDIfLg,00:12:29.080,00:12:58.880,The video clip shows a woman in the kitchen who is preparing a meal. She is wearing a yellow shirt and is standing in front of a counter filled with jars of food.,8.7109375
K0HOW_pL7kY,00:00:15.320,00:00:17.800,"The video clip shows a man wearing a robe and dancing in front of a car. The car appears to be a sports car, and the man seems to be having a good time.",8.7109375
GLbGWQqSYJ4,00:01:54.514,00:01:56.116,"The video clip shows a man wearing a white coat dancing on a dance floor. He is surrounded by a group of people who are also dancing. The setting appears to be a nightclub, and the atmosphere is lively and energetic.",8.7109375
Mn7y6WEX0yI,00:01:57.480,00:01:58.080,The video clip shows a group of men dancing together in a nightclub. They appear to be having a good time and enjoying each other's company.,8.703125
ZgSL9ZKHfIY,00:00:13.467,00:00:14.267,The video clip shows a group of men playing a game of cricket. They are all wearing cricket gear and are playing the game in a field. One of the men is wearing a cap and appears to be the captain of the team.,8.703125
k-tjpf5Gxuw,00:08:20.400,00:08:31.600,The video clip shows a man sitting at a table and eating a bowl of soup. He is wearing a hat and appears to be enjoying his meal.,8.703125
