YoutubeID,Start_timestamp,End_timestamp,Caption,Aesthetic_Score,caption_interaction
mesIbctOueQ,00:02:11.760,00:02:12.640,The video clip shows two men dressed in pink jackets singing into a microphone while wearing sunglasses. They appear to be having a good time and enjoying themselves.,8.7734375,Yes
SttN9OpuulY,00:00:39.339,00:00:40.407,The video clip shows a group of people dancing together in a room. They are all having a good time and appear to be enjoying themselves. It seems like a fun and lively atmosphere.,8.7734375,Yes
1x5tIv6GC1o,00:02:14.120,00:02:15.160,The video clip shows a man standing next to a car that is covered in flowers. He is wearing a leather jacket and appears to be posing for a photo.,8.7734375,No
pvUAvGD4nXQ,00:02:09.755,00:02:10.380,The video clip shows a group of men dressed in casual clothing and dancing in a field. They appear to be having a good time and enjoying each other's company.,8.7734375,Yes
ZpUYjpKg9KY,00:00:00.000,00:00:07.090,The video clip shows a group of musicians performing on a stage. They are playing instruments and singing. It appears to be a musical performance.,8.7734375,Yes
ccNForBc18o,00:06:43.000,00:06:45.400,The video clip shows a man wearing a colorful outfit and dancing in front of a white background. He is wearing sunglasses and appears to be having a good time.,8.765625,No
Q3Wrbp2Huk4,00:05:13.480,00:05:23.990,The video clip shows a man making a smoothie in a kitchen. He is using a blender to blend the ingredients together and then pouring the smoothie into a glass. The man seems to be enjoying the process of making the smoothie.,8.765625,No
MjVPWjeIcqk,00:00:00.000,00:09:56.600,The video clip shows a man wearing a red hat and a plaid shirt standing in the snow. He is also wearing a jacket and appears to be dancing.,8.7578125,No
AA_4Bt6wPzQ,00:08:21.435,00:08:30.477,The video clip shows a man dressed in a costume and holding a skull. He is wearing a hat and appears to be in a theater setting.,8.7578125,No
KlAAQ4TzqdA,00:02:46.240,00:02:48.360,The video clip shows a group of men standing in front of a classic car. They appear to be posing for a photo and seem to be enjoying each other's company.,8.7578125,Yes
ZpUYjpKg9KY,00:02:19.264,00:02:20.766,The video clip shows a group of people dancing together in a room. They appear to be having a good time and enjoying each other's company.,8.7578125,Yes
qhNvxhHeGWQ,00:12:39.993,00:12:43.564,The video clip shows a man in an orange shirt standing in front of a table with several glasses of juice on it. He is wearing a hat and appears to be in charge of the juice making process.,8.7578125,No
9hrXZQ2CCPc,00:00:00.000,00:10:54.000,The video clip shows a man wearing a red hat and standing in the snow. He seems to be enjoying the winter weather.,8.75,No
7TVTgsV5_Ko,00:01:09.960,00:01:15.160,The video clip shows a woman standing in front of a fruit market. She is wearing a red shirt and is making a gesture with her hand. The market is filled with various types of fruits and vegetables.,8.75,No
xbYxR3RsNx8,00:19:00.587,00:19:02.565,The video clip shows a small pink purse that has been embroidered with a floral design. The purse is placed on a table and appears to be handmade.,8.75,No
aVgetIvEIAs,00:02:06.251,00:02:07.294,The video clip shows a man wearing a suit and tie singing into a microphone while holding a glass of wine. He is accompanied by a band playing music in the background.,8.75,No
44YavXS3NEY,00:01:40.733,00:01:45.667,The video clip shows a man in a kitchen who is making a salad. He is wearing a black shirt and is standing in front of a table with a bowl of salad ingredients.,8.75,No
Kq3M09qTDDM,00:01:09.870,00:01:11.638,The video clip shows a group of people dressed in colorful costumes and dancing together. They appear to be having a good time and enjoying each other's company.,8.75,Yes
YupfFYtnn6k,00:00:23.232,00:00:25.317,The video clip shows a group of people dancing in a room. The dancers are wearing black clothing and appear to be having a good time. It seems to be a fun and energetic performance.,8.75,Yes
qex0OjXolzc,00:01:29.548,00:01:30.632,The video clip shows a man sitting at a table and eating a sandwich. He is wearing a cap and has a tattoo on his arm. The man seems to be enjoying his meal.,8.7421875,No
a2XdPLupE90,00:08:07.200,00:08:16.400,The video clip shows a woman preparing and serving some delicious cupcakes. The cupcakes are decorated with fresh flowers and topped with jam. The woman is also seen pouring some jam into a jar.,8.7421875,No
gkhKxX-PpPc,00:04:56.863,00:05:05.438,The video clip shows a man dressed in a beard and wearing a straw hat sitting in the woods and eating a sandwich. He is surrounded by a variety of fruits and vegetables on a table.,8.7421875,No
bLF90M96m2Q,00:03:00.520,00:03:03.560,"The video clip shows a group of people dressed in colorful costumes and dancing in a parade. They are accompanied by confetti and balloons, creating a festive and lively atmosphere. The people in the parade seem to be having a great time and enjoying themselves.",8.734375,Yes
HuSf1UcFRq0,00:02:11.000,00:02:11.720,The video clip shows a group of people performing a dance routine in a field. It appears to be a fun and energetic performance.,8.734375,Yes
1nrcZQliOGI,00:01:33.375,00:01:34.708,The video clip shows a group of people dressed in white clothing singing and dancing on a street. They appear to be having a good time and enjoying each other's company.,8.734375,Yes
qrOeGCJdZe4,00:01:52.612,00:01:54.281,The video clip shows a man singing into a vintage microphone while wearing a leather jacket. He appears to be passionate about his performance.,8.734375,No
fXSovfzyx28,00:02:42.000,00:02:46.120,The video clip shows a man dressed in a military uniform singing and dancing on a stage. It appears to be a musical performance.,8.734375,Yes
jIZ-ye63Mpc,00:02:01.688,00:02:07.794,"The video clip shows a group of men dressed in suits and ties posing for a photo. They are all wearing hats and appear to be having a good time. The setting seems to be outdoors, possibly in a garden or park. It appears to be a group of friends or colleagues enjoying each other's company.",8.734375,Yes
XuswP_C1ehE,00:02:38.617,00:02:39.993,The video clip shows a group of people gathered around a motorcycle. The motorcycle is parked in the middle of the group. The people seem to be having a good time and enjoying each other's company. It appears to be a social gathering or a party.,8.734375,No
r-wDKEHc-Cw,00:01:46.873,00:01:57.918,"The video clip shows a group of people shopping for fruits and vegetables at a farmer's market. They are browsing through a variety of fresh produce, including apples, bananas, and grapes. The people seem to be enjoying their time at the market, picking out their favorite items to take home.",8.734375,Yes
aVgetIvEIAs,00:01:45.856,00:01:46.857,"The video clip shows a group of musicians performing on a stage. They are dressed in formal attire and are playing instruments such as guitars, drums, and cymbals. The lead singer is wearing a suit and is singing into a microphone while the rest of the musicians play their instruments.",8.734375,Yes
Aj4ehEk5Kk8,00:08:19.100,00:08:54.233,The video clip shows a woman making a cocktail behind a bar. She is wearing an apron and appears to be expertly mixing the ingredients together.,8.734375,No
D8_b_2MTwXo,00:02:29.240,00:02:30.200,The video clip shows a group of people dressed in pink and wearing sunglasses. They are dancing together and having a good time. It appears to be a fun and lively event.,8.734375,Yes
LH-i8IvYIcg,00:02:18.347,00:02:19.222,The video clip shows a man wearing a hat and walking in a crowd of people. He is smiling and seems to be enjoying the company of the people around him. It appears to be a lively and cheerful atmosphere.,8.7265625,No
RYnFIRc0k6E,00:03:21.535,00:03:22.452,The video clip shows a group of people dancing together in a room. They appear to be having fun and enjoying each other's company. It seems to be a lively and energetic atmosphere.,8.7265625,Yes
_HeKOFkUG1M,00:01:06.267,00:01:10.200,The video clip shows a plate of toast with jam and a cup of tea. It appears to be a simple breakfast setup.,8.7265625,No
K0HOW_pL7kY,00:00:57.160,00:00:58.360,The video clip shows a group of people dancing together in a room. They are dressed in yellow and white clothes and appear to be having fun while dancing.,8.7265625,Yes
07r_B9zFYQo,00:00:37.333,00:00:41.500,"The video clip shows a group of people, including a man, a woman, and two kids, standing in front of a table filled with fruits and vegetables. They seem to be preparing a healthy meal together.",8.7265625,Yes
d1F8B1R-9Zc,00:08:31.000,00:08:34.000,The video clip shows a group of children dressed up as zebras sitting at a table and having a meal together. They seem to be enjoying their food and having a good time.,8.7265625,Yes
M22vfePD3f4,00:00:49.016,00:00:52.185,The video clip shows a collection of vintage dolls dressed in various outfits. The dolls are arranged in different poses and appear to be of different ages.,8.71875,No
g52Uh9wmqZg,00:00:05.160,00:00:06.400,The video clip shows a man wearing a robe and sleeping on a bed. He is lying on his back and appears to be resting comfortably.,8.71875,No
bMyrBds_9Zc,00:00:46.520,00:00:47.600,The video clip shows a man wearing a yellow suit and dancing in the middle of the street. He is accompanied by a group of people who are also dancing around him. It appears to be a lively and energetic performance.,8.71875,Yes
i1BO0bbKCyo,00:00:16.683,00:00:17.309,The video clip shows a group of people dancing together in a room filled with balloons. They are all wearing colorful costumes and seem to be having a great time. The atmosphere in the room is lively and energetic.,8.71875,Yes
5Wgci4oyorI,00:00:29.712,00:00:31.280,The video clip shows a man wearing a white hat and tie singing into a microphone. He is dressed in a suit and appears to be performing on stage.,8.71875,No
PEH8iLjlodM,00:01:24.480,00:01:27.240,The video clip shows a man wearing a helmet and standing in a room. The man is wearing a helmet and appears to be preparing for something. It seems like he is getting ready for an adventure.,8.7109375,No
oCdlZ_1aMMg,00:01:21.560,00:01:23.360,The video clip shows a group of people dressed in blue costumes riding bicycles in a line. They seem to be part of a parade or a group of cyclists. It appears to be a fun and lively event.,8.7109375,No
1nrcZQliOGI,00:01:34.708,00:01:35.500,The video clip shows a group of people dressed in white clothing walking down a street. They appear to be part of a parade or a group of performers. There is also a man wearing a hat and glasses who seems to be the leader of the group.,8.7109375,No
5hJbouQgjjo,00:04:13.600,00:04:15.400,The video clip shows a young girl sitting at a table with a plate of food in front of her. She is smiling and seems to be enjoying her meal.,8.7109375,No
Kq3M09qTDDM,00:00:52.319,00:00:53.987,The video clip shows a group of people dressed in colorful costumes and dancing in a festive atmosphere. They are all having a great time and seem to be enjoying themselves. It appears to be a lively and joyful celebration.,8.7109375,Yes
siObhGeluDQ,00:14:16.720,00:14:17.480,The video clip shows a group of young people standing in a room and dancing together. They appear to be having a good time and enjoying each other's company.,8.7109375,Yes
